INDEX,temp,pressure,humidity,dew_point,clouds,visibility,wind_speed,rainfall_1hr
2794803,17.89,1015.0,86.0,15.52,20.0,10000.0,0.0,
107861,3.65,1023.0,44.0,-6.63,75.0,10000.0,9.8,
2036297,22.32,1009.0,93.0,21.13,100.0,10000.0,5.7,0.12
474353,10.42,1015.0,96.0,9.81,40.0,10000.0,0.0,
5222946,20.52,1018.0,92.0,19.18,100.0,9656.0,2.1,28.2
3304853,29.0,1014.0,49.0,17.21,75.0,10000.0,2.1,
509908,-8.32,1021.0,73.0,-11.86,40.0,10000.0,3.1,
2881087,23.92,1014.0,71.0,18.34,40.0,10000.0,4.1,
2036051,19.63,1010.0,90.0,17.95,100.0,10000.0,6.7,
2901767,24.11,1016.0,93.0,22.91,100.0,9656.0,2.6,
2481391,15.4,1014.0,80.0,11.97,100.0,10000.0,2.6,
2996001,31.06,1022.0,66.0,23.96,75.0,10000.0,2.1,
302377,3.43,1021.0,62.0,-2.79,40.0,10000.0,1.5,
4314023,10.9,1024.0,73.0,6.26,0.0,10000.0,2.6,
4072489,31.0,1009.0,44.0,17.32,75.0,10000.0,7.2,
714236,-5.71,1009.0,80.0,-8.28,100.0,8047.0,2.6,
1865689,13.8,1011.0,86.0,11.5,100.0,9656.0,4.1,1.8
3137333,32.32,1011.0,52.0,21.21,75.0,10000.0,3.6,
844218,-5.78,1009.0,60.0,-11.59,0.0,10000.0,2.6,
1141980,,,,,,,,
1943241,14.43,1013.0,74.0,9.86,100.0,10000.0,2.6,
1107007,25.57,1019.0,67.0,18.99,20.0,10000.0,9.3,
741399,2.76,1028.0,33.0,-10.62,0.0,10000.0,6.2,
53843,-0.05,1009.0,92.0,-1.06,100.0,8047.0,4.6,
708600,-8.86,1024.0,36.0,-19.98,100.0,10000.0,2.6,
853992,4.73,1012.0,82.0,1.92,100.0,10000.0,6.2,
4876939,15.19,1014.0,88.0,13.22,100.0,3219.0,5.1,0.5
2777984,14.88,1020.0,82.0,11.84,75.0,10000.0,3.6,
2542743,25.02,1015.0,86.0,22.51,75.0,10000.0,4.1,
604803,12.62,1018.0,61.0,5.31,75.0,10000.0,2.6,0.31
